,N,Party,Province,Race,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
232,252.0,p_dsp,Hakkari,1991,1.53031725243e-70,0.0,0.139989496811,1.56104448498e-72,0.12
233,252.0,p_dyp,Hakkari,1991,0.00850508805568,0.00217627105819,0.685081034144,0.00491738362412,0.38
234,252.0,p_anap,Hakkari,1991,0.341873335042,0.0815514129565,0.238058583184,0.332796548988,0.03
235,252.0,p_rp,Hakkari,1991,1.68573103538e-12,1.13680735945e-53,0.975131603518,3.61497265562e-13,0.97
236,252.0,p_shp,Hakkari,1991,1.8324085926e-09,1.48271048892e-20,0.978004844028,5.02613842186e-10,0.96
237,252.0,p_sp,Hakkari,1991,3.63630926142e-92,0.0,0.330443334894,1.26049421756e-94,0.81
238,1830.0,p_bgmz,Hatay,1991,0.0,0.0,,0.0,0.0
239,1830.0,p_dsp,Hatay,1991,4.90614191421e-06,4.74056183874e-31,0.0091611545669,1.79583220613e-06,0.04
240,1830.0,p_dyp,Hatay,1991,0.836119644162,0.00210539111821,0.864326609909,0.866734153574,0.91
241,1830.0,p_anap,Hatay,1991,0.8469677676,0.0106519882014,0.871539919312,0.694368152368,0.57
242,1830.0,p_rp,Hatay,1991,1.37611443839e-18,5.57981714227e-23,0.187897238771,1.42433199156e-20,0.01
243,1830.0,p_shp,Hatay,1991,0.266251235662,0.000268654702544,0.271143634389,0.223987219668,0.22
244,1830.0,p_sp,Hatay,1991,0.0,0.0,1.93860561431e-14,0.0,0.0
245,2227.0,p_bgmz,Icel,1991,0.0,0.0,8.65743769341e-13,0.0,0.0
246,2227.0,p_dsp,Icel,1991,0.000335172577299,1.43528250881e-38,0.108515562888,8.06515925613e-05,0.12
247,2227.0,p_dyp,Icel,1991,0.877441020011,0.000648355810815,0.944146178579,0.95094976688,0.54
248,2227.0,p_anap,Icel,1991,0.816765342335,0.000241668156033,0.846024601738,0.836416861682,0.75
249,2227.0,p_rp,Icel,1991,0.0680210714857,4.5054415521e-19,0.700574213772,0.0220080335739,0.47
250,2227.0,p_shp,Icel,1991,0.791670119139,9.60029708525e-06,0.845236779877,0.891728704617,0.56
251,2227.0,p_sp,Icel,1991,0.0,0.0,1.59255046887e-25,0.0,0.0
252,781.0,p_bgmz,Isparta,1991,0.0,0.0,,0.0,0.0
253,781.0,p_dsp,Isparta,1991,0.0109855369203,3.13879627485e-37,0.0802470236959,0.00665468146279,0.01
254,781.0,p_dyp,Isparta,1991,0.967185802284,0.905081298322,0.988449223784,0.978874201789,1.0
255,781.0,p_anap,Isparta,1991,0.616122842307,0.0117668576546,0.688491723435,0.546969499407,0.47
